Review #,Review,Explicit,Implicit
26,dalawa yung binili ko isa sakin tsaka sa friend ko first of all kaunti lang yung laman nung isa habang medyo mas lamang yung sa isa about sa color maroon yung sa tingin kong dapat maging kakalabasan niya pero violet yung kulay niya kapag nilagay na sa labi also kulang,"'dalawa' (O - ), 'yung' (O - ), 'binili' (O - ), 'ko' (O - ), 'isa' (O - ), 'sakin' (O - ), 'tsaka' (O - ), 'sa' (O - ), 'friend' (O - ), 'ko' (O - ), 'first' (O - ), 'of' (O - ), 'all' (O - ), 'kaunti' (O - ), 'lang' (O - ), 'yung' (O - ), 'laman' (O - ), 'nung' (O - ), 'isa' (O - ), 'habang' (O - ), 'medyo' (O - ), 'mas' (O - ), 'lamang' (O - ), 'yung' (O - ), 'sa' (O - ), 'isa' (O - ), 'about' (B - PRO#COL), 'sa' (I - PRO#COL), 'color' (I - PRO#COL), 'maroon' (I - PRO#COL), 'yung' (I - PRO#COL), 'sa' (I - PRO#COL), 'tingin' (I - PRO#COL), 'kong' (I - PRO#COL), 'dapat' (I - PRO#COL), 'maging' (I - PRO#COL), 'kakalabasan' (I - PRO#COL), 'niya' (I - PRO#COL), 'pero' (I - PRO#COL), 'violet' (I - PRO#COL), 'yung' (I - PRO#COL), 'kulay' (I - PRO#COL), 'niya' (I - PRO#COL), 'kapag' (I - PRO#COL), 'nilagay' (I - PRO#COL), 'na' (I - PRO#COL), 'sa' (I - PRO#COL), 'labi' (I - PRO#COL), 'also' (O - ), 'kulang' (O - )","'kaunti' (PRO#COND), 'lang' (PRO#COND), 'yung' (PRO#COND), 'laman' (PRO#COND), 'nung' (PRO#COND), 'isa' (PRO#COND), 'habang' (PRO#COND), 'medyo' (PRO#COND), 'mas' (PRO#COND), 'lamang' (PRO#COND), 'yung' (PRO#COND), 'sa' (PRO#COND), 'isa' (PRO#COND)"
27,ok na sana pero hindi 10 meters 6 meters lang saan ang 4 meters kada isang roll magpa katotoo naman sa post niyo,"'ok' (O - ), 'na' (O - ), 'sana' (O - ), 'pero' (O - ), 'hindi' (O - ), '10' (O - ), 'meters' (O - ), '6' (O - ), 'meters' (O - ), 'lang' (O - ), 'saan' (O - ), 'ang' (O - ), '4' (O - ), 'meters' (O - ), 'kada' (O - ), 'isang' (O - ), 'roll' (O - ), 'magpa' (B - SER#TRU), 'katotoo' (I - SER#TRU), 'naman' (I - SER#TRU), 'sa' (I - SER#TRU), 'post' (I - SER#TRU), 'niyo' (I - SER#TRU)","'hindi' (PRO#SIZE), '10' (PRO#SIZE), 'meters' (PRO#SIZE), '6' (PRO#SIZE), 'meters' (PRO#SIZE), 'lang' (PRO#SIZE), 'saan' (PRO#SIZE), 'ang' (PRO#SIZE), '4' (PRO#SIZE), 'meters' (PRO#SIZE), 'kada' (PRO#SIZE), 'isang' (PRO#SIZE), 'roll' (PRO#SIZE)"
28,amoy plastic amputa tagal ko inorder now lang dumating amoy plastic pa huhu why,"'amoy' (O - ), 'plastic' (O - ), 'amputa' (O - ), 'tagal' (B - DEL#TIME), 'ko' (I - DEL#TIME), 'inorder' (I - DEL#TIME), 'now' (I - DEL#TIME), 'lang' (I - DEL#TIME), 'dumating' (I - DEL#TIME), 'amoy' (O - ), 'plastic' (O - ), 'pa' (O - ), 'huhu' (O - ), 'why' (O - )","'amoy' (PRO#SENS), 'plastic' (PRO#SENS), 'amoy' (PRO#SENS), 'plastic' (PRO#SENS)"
29,not good not satisfied omg sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business sobrang nanghinayang ako,"'not' (O - ), 'good' (O - ), 'not' (O - ), 'satisfied' (O - ), 'omg' (O - ), 'sa' (O - ), 'quality' (B - PRO#GEN), 'nya' (I - PRO#GEN), 'para' (I - PRO#GEN), 'sakin' (I - PRO#GEN), 'hindi' (I - PRO#GEN), 'okay' (I - PRO#GEN), 'akala' (B - PRO#CORR), 'ko' (I - PRO#CORR), 'yung' (I - PRO#CORR), 'na' (I - PRO#CORR), 'sstrech' (I - PRO#CORR), 'talaga' (I - PRO#CORR), 'sya' (I - PRO#CORR), 'e' (I - PRO#CORR), 'hindi' (I - PRO#CORR), 'naman' (I - PRO#CORR), 'pala' (I - PRO#CORR), 'sa' (B - PRO#CORR), 'picture' (I - PRO#CORR), 'at' (I - PRO#CORR), 'live' (I - PRO#CORR), 'na' (I - PRO#CORR), 'nagbebenta' (I - PRO#CORR), 'goods' (I - PRO#CORR), 'sya' (I - PRO#CORR), 'in' (I - PRO#CORR), 'person' (I - PRO#CORR), 'hindi' (I - PRO#CORR), 'na' (I - PRO#CORR), 'pala' (I - PRO#CORR), 'pero' (O - ), 'thats' (O - ), 'business' (O - ), 'sobrang' (O - ), 'nanghinayang' (O - ), 'ako' (O - )","'not' (PRO#GEN), 'good' (PRO#GEN), 'not' (PRO#GEN), 'satisfied' (PRO#GEN)"
30,actually kala ko 10meters pro 6meters lang ng sinukat ko,"'actually' (O - ), 'kala' (O - ), 'ko' (O - ), '10meters' (O - ), 'pro' (O - ), '6meters' (O - ), 'lang' (O - ), 'ng' (O - ), 'sinukat' (O - ), 'ko' (O - )","'10meters' (PRO#SIZE), 'pro' (PRO#SIZE), '6meters' (PRO#SIZE), 'lang' (PRO#SIZE), 'ng' (PRO#SIZE), 'sinukat' (PRO#SIZE), 'ko' (PRO#SIZE)"
31,subrang tagal e ship nag order ako ng 9 9 ngayon ko palang na receive 924 mag 1 month bago ko marecive ang item ang pangit ng service di responsible si seller,"'subrang' (B - DEL#TIME), 'tagal' (I - DEL#TIME), 'e' (I - DEL#TIME), 'ship' (I - DEL#TIME), 'nag' (B - DEL#TIME), 'order' (I - DEL#TIME), 'ako' (I - DEL#TIME), 'ng' (I - DEL#TIME), '9' (I - DEL#TIME), '9' (I - DEL#TIME), 'ngayon' (I - DEL#TIME), 'ko' (I - DEL#TIME), 'palang' (I - DEL#TIME), 'na' (I - DEL#TIME), 'receive' (I - DEL#TIME), '924' (I - DEL#TIME), 'mag' (I - DEL#TIME), '1' (I - DEL#TIME), 'month' (I - DEL#TIME), 'bago' (I - DEL#TIME), 'ko' (I - DEL#TIME), 'marecive' (I - DEL#TIME), 'ang' (I - DEL#TIME), 'item' (I - DEL#TIME), 'ang' (O - ), 'pangit' (B - SER#GEN), 'ng' (I - SER#GEN), 'service' (I - SER#GEN), 'di' (I - SER#GEN), 'responsible' (I - SER#GEN), 'si' (I - SER#GEN), 'seller' (I - SER#GEN)",
32,oil based kadisappoint lang yung cloud ksi parang iba yung amoy antapang may pag kalalake rin siyang scent which is not the same sa usual na binibili ko then amoy na amoy talaga yung alchohol sa bawat perfume pero i guess its worth the price mura lng naman kaya ok,"'oil' (O - ), 'based' (O - ), 'kadisappoint' (O - ), 'lang' (O - ), 'yung' (O - ), 'cloud' (O - ), 'ksi' (O - ), 'parang' (O - ), 'iba' (B - PRO#SENS), 'yung' (I - PRO#SENS), 'amoy' (I - PRO#SENS), 'antapang' (I - PRO#SENS), 'may' (I - PRO#SENS), 'pag' (I - PRO#SENS), 'kalalake' (I - PRO#SENS), 'rin' (I - PRO#SENS), 'siyang' (I - PRO#SENS), 'scent' (O - ), 'which' (O - ), 'is' (O - ), 'not' (O - ), 'the' (O - ), 'same' (O - ), 'sa' (O - ), 'usual' (O - ), 'na' (O - ), 'binibili' (O - ), 'ko' (O - ), 'then' (O - ), 'amoy' (B - PRO#SENS), 'na' (I - PRO#SENS), 'amoy' (I - PRO#SENS), 'talaga' (I - PRO#SENS), 'yung' (I - PRO#SENS), 'alchohol' (I - PRO#SENS), 'sa' (I - PRO#SENS), 'bawat' (I - PRO#SENS), 'perfume' (I - PRO#SENS), 'pero' (O - ), 'i' (O - ), 'guess' (O - ), 'its' (O - ), 'worth' (B - PRI#VOM), 'the' (I - PRI#VOM), 'price' (I - PRI#VOM), 'mura' (B - PRI#AFF), 'lng' (I - PRI#AFF), 'naman' (O - ), 'kaya' (O - ), 'ok' (O - )","'not' (PRO#COND), 'the' (PRO#COND), 'same' (PRO#COND), 'sa' (PRO#COND), 'usual' (PRO#COND)"
33,late dumating ung parcel and sira ung producthnd gmaganaon lng tpos wla na,"'late' (B - DEL#TIME), 'dumating' (I - DEL#TIME), 'ung' (I - DEL#TIME), 'parcel' (I - DEL#TIME), 'and' (O - ), 'sira' (B - PRO#FUNC), 'ung' (I - PRO#FUNC), 'producthnd' (I - PRO#FUNC), 'gmaganaon' (I - PRO#FUNC), 'lng' (I - PRO#FUNC), 'tpos' (I - PRO#FUNC), 'wla' (I - PRO#FUNC), 'na' (I - PRO#FUNC)",
34,i dont think nsa 10meters ito lukot pa,"'i' (B - PRO#SIZE), 'dont' (I - PRO#SIZE), 'think' (I - PRO#SIZE), 'nsa' (I - PRO#SIZE), '10meters' (I - PRO#SIZE), 'ito' (I - PRO#SIZE), 'lukot' (O - ), 'pa' (O - )","'lukot' (PRO#COND), 'pa' (PRO#COND)"
35,hindi ko nagustuhan yung amoy i already received my parcel pero nung pag ka open ko may leak and hindi ko nagustuhan yung amoy nakakasuka yung amoy this is my first time to buy a product in this shop and i expect too much nakakadismaya,"'hindi' (O - ), 'ko' (O - ), 'nagustuhan' (O - ), 'yung' (O - ), 'amoy' (O - ), 'i' (O - ), 'already' (O - ), 'received' (O - ), 'my' (O - ), 'parcel' (O - ), 'pero' (O - ), 'nung' (O - ), 'pag' (O - ), 'ka' (O - ), 'open' (O - ), 'ko' (O - ), 'may' (O - ), 'leak' (O - ), 'and' (O - ), 'hindi' (O - ), 'ko' (O - ), 'nagustuhan' (O - ), 'yung' (O - ), 'amoy' (O - ), 'nakakasuka' (O - ), 'yung' (O - ), 'amoy' (O - ), 'this' (O - ), 'is' (O - ), 'my' (O - ), 'first' (O - ), 'time' (O - ), 'to' (O - ), 'buy' (O - ), 'a' (O - ), 'product' (O - ), 'in' (O - ), 'this' (O - ), 'shop' (O - ), 'and' (O - ), 'i' (O - ), 'expect' (O - ), 'too' (O - ), 'much' (O - ), 'nakakadismaya' (O - )","'hindi' (PRO#SENS), 'ko' (PRO#SENS), 'nagustuhan' (PRO#SENS), 'yung' (PRO#SENS), 'amoy' (PRO#SENS), 'pag' (DEL#COND), 'ka' (DEL#COND), 'open' (DEL#COND), 'ko' (DEL#COND), 'may' (DEL#COND), 'leak' (DEL#COND), 'hindi' (PRO#SENS), 'ko' (PRO#SENS), 'nagustuhan' (PRO#SENS), 'yung' (PRO#SENS), 'amoy' (PRO#SENS), 'nakakasuka' (PRO#SENS), 'yung' (PRO#SENS), 'amoy' (PRO#SENS)"
36,panget dito bumili pinapalitan yong order mo talaga kainis ng shop nato masyadong scam,"'panget' (B - SER#GEN), 'dito' (I - SER#GEN), 'bumili' (I - SER#GEN), 'pinapalitan' (O - ), 'yong' (O - ), 'order' (O - ), 'mo' (O - ), 'talaga' (O - ), 'kainis' (B - SER#TRU), 'ng' (I - SER#TRU), 'shop' (I - SER#TRU), 'nato' (I - SER#TRU), 'masyadong' (I - SER#TRU), 'scam' (I - SER#TRU)","'pinapalitan' (SER#TRU), 'yong' (SER#TRU), 'order' (SER#TRU), 'mo' (SER#TRU)"
37,parang laruan yung glads niya so dissapointed,"'parang' (B - PRO#MAT), 'laruan' (I - PRO#MAT), 'yung' (I - PRO#MAT), 'glads' (I - PRO#MAT), 'niya' (I - PRO#MAT), 'so' (O - ), 'dissapointed' (O - )",
38,di gumagana mic sabog pa tunog ang sabi ko bago ko i place order ko ay ipa double check yung product pero di nakinig,"'di' (B - PRO#FUNC), 'gumagana' (I - PRO#FUNC), 'mic' (I - PRO#FUNC), 'sabog' (O - ), 'pa' (O - ), 'tunog' (O - ), 'ang' (O - ), 'sabi' (B - SER#HAND), 'ko' (I - SER#HAND), 'bago' (I - SER#HAND), 'ko' (I - SER#HAND), 'i' (I - SER#HAND), 'place' (I - SER#HAND), 'order' (I - SER#HAND), 'ko' (I - SER#HAND), 'ay' (I - SER#HAND), 'ipa' (I - SER#HAND), 'double' (I - SER#HAND), 'check' (I - SER#HAND), 'yung' (I - SER#HAND), 'product' (I - SER#HAND), 'pero' (O - ), 'di' (O - ), 'nakinig' (O - )","'sabog' (PRO#SENS), 'pa' (PRO#SENS), 'tunog' (PRO#SENS), 'pero' (SER#RES), 'di' (SER#RES), 'nakinig' (SER#RES)"
39,sira sya at may amoy na ung adoptor diko bet kase nasayang lng pera ko,"'sira' (B - PRO#FUNC), 'sya' (I - PRO#FUNC), 'at' (O - ), 'may' (B - PRO#SENS), 'amoy' (I - PRO#SENS), 'na' (I - PRO#SENS), 'ung' (I - PRO#SENS), 'adoptor' (I - PRO#SENS), 'diko' (O - ), 'bet' (O - ), 'kase' (O - ), 'nasayang' (B - PRI#VOM), 'lng' (I - PRI#VOM), 'pera' (I - PRI#VOM), 'ko' (I - PRI#VOM)",
40,010 di naman sya gumagawa e not satisfied buyer her,"'10' (O - ), 'di' (B - PRO#FUNC), 'naman' (I - PRO#FUNC), 'sya' (I - PRO#FUNC), 'gumagawa' (I - PRO#FUNC), 'e' (O - ), 'not' (O - ), 'satisfied' (O - ), 'buyer' (O - ), 'her' (O - )",
