Review #,Review,product,delivery,price,service,,,,
198,wtf eto na yung mystery pouch nyo hahahaha amg panget nakakawalang gana mag order sa inyo,1,0,0,0,WTF Eto na yung mystery pouch nyo hahahaha Amg panget nakakawalang gana mag order sa inyo product,,,
199,di ko na nailagay yung right pics pasensya na binura ko kanina sa gallery baka makita ng anak ko gift ko sa christmas party nila yun matagal na nya request yan anyway bawi ako sa isang order ko na paparating na rin para sa bunso ko nman thanks seller,0,0,0,1,Di ko na nailagay yung right pics pasensya na binura ko kanina sa gallery baka makita ng anak ko gift ko sa christmas party nila yun matagal na nya request yan anyway bawi ako sa isang order ko na paparating na rin para sa bunso ko nman thanks seller SERVICE,,,
200,my lick po sya nabawasan na ung perfume madami po ang natapon,1,0,0,0,"May lick po sya nabawasan na ung perfume madami po ang natapon, product",,,
201,okay lng sya for the price,0,0,1,0,The review expresses that the product is acceptable for the price paid.,,,
202,magkaiba ng size yung natanggap ko but its okay kasi di naman halata thank you shopee,1,0,0,0,The review states that the size received was different but acceptable.,,,
203,good kaso di pantay ang size  order aku ulit sana ma satisfied na aku,1,0,0,0,The review mentions the product is good but the size is uneven and hopes for better satisfaction in the next order.,,,
204,ok ok nmn sya maliit lng pero cute hehehe thank you seller pangalawang order kona to ung isa liquid eyeliner thank you din pla kay kua rider na sya lagi naghahatid dto saamin kht ubod nang lau nitong saamin looban pa oorder ako ulit kpag ubos na salamat salamat salamat,1,0,0,1,"The review expresses overall satisfaction, mentioning it's small and cute, thanks the seller and the rider who delivers to their remote location.",,,
205,improve more yung isa di po naikot pag sa powerbank ikinabit pero umiikot po parehas kapag direct sa saksakan ng kuryente with the use of adaptoradapter salamuchall,1,0,0,0,"The review notes that one item doesn't rotate when connected to a power bank but rotates when connected directly with an adapter, suggesting a product defect.",,,
206,i ordered 4 pcs of square pantsdiff color pero so dissappointed kc iisang kulay ang dumating,0,1,0,0,"The review mentions disappointment because the ordered square pants in different colors all came in the same color, indicating delivery error.",,,
207,ok naman sya kaso di ma tighten ang screws at tsaka pag nilagay ko phone ko nabibigatan yung lamp at bumababa lang ng bigla,1,0,0,0,"The review notes that the screws cannot be tightened, and the lamp is unstable when a phone is attached, implying a product flaw.",,,
208,perfect sya sa mga small bag natin kasing laki lng ng phone may casing pa pero ma baho po siguro from factory pa sya kaya ganyan nilabhan ko na lang hopefully mawala yong mabahong amoy,1,0,0,0,"The review states that it's perfect for small bags but smells bad, possibly from the factory, implying a product issue related to manufacturing.",,,
209,okay lang ang bilis dumating 2 days lang which is good but kulang yung dumating sakin naka ka sad,0,1,0,0,"The review states the delivery was fast, which is good, but some items were missing, causing sadness.",,,
210,sad lang po sa color since white yung inorder ko but black yung dumating maayos naman ang shoes kahit yupi yung box but yun nga need ko lang talaga ang white for our party na sad lang ako,0,1,0,0,"The review expresses sadness because the wrong color was received, though the shoes were in good condition, emphasizing the importance of receiving the correct color.",,,
211,i received a wrong product but i think this will do thank you seller mabilis ko po siyang nakuha sulit po siya xoxoxo,0,1,1,1,"The review mentions receiving the wrong product but finds it acceptable, thanking the seller, notes fast delivery, and implies it's worth the price.",,,
212,salmat shoppee dumating na nice po tnx sa seller,0,1,0,1,The review expresses gratitude to Shopee and the seller for the arrival and niceness of the product.,,,
213,sabi sa isqng review na nabasa ko dito maagan daw e apaka bigat tas ang lambot pa parang jelly ace hahaha ok lang since mura salamat po,1,0,1,0,"The review contrasts the expectation based on another review with the actual product, noting it's heavy and soft like jelly ace but acceptable because it's cheap.",,,
214,you get the quality for its pricesana tumagal kahit 1 month lg hahahha size 37 aku and tama nman ang size sa paa ko puede xa pangbahay lg talaga,1,0,1,0,"The review suggests the product quality matches its price, hoping it lasts at least a month, mentions correct sizing, and suggests it's suitable for indoor use only.",,,
215,hnd ko alam ang sensitive ng adjustment touch niya tapos pag ng call ka na didisconnect siya hnd siya friendly user sabagay what do you expect nga naman s price niya,1,0,1,0,"The review notes the sensitive adjustment and disconnect issues during calls, implying the product is not user-friendly, which is expected given the price.",,,
216,nice it was okay naman for its price i guess mukha lang syang maluwag but ayos naman nung sinuot ko na the only problem is manipis siya so yung foam niya sa gilid is medj naumbok pero overall okay lang,1,0,1,0,"The review finds it okay for its price, noting it appears loose but fits fine, mentioning it's thin and the foam is slightly bulging but overall acceptable.",,,
217,manipis po hindi katulad nung pinag bilihan ko nung una na makapal nagkataon lang na may design ung first kong inorderan tulad na jogger kapag un ulit ang ini add to cart ko ito kasi plain lang,1,0,0,0,"The review notes that the product is thin compared to a previous purchase, mentioning the design aspect.",,,
218,thank you po ok naman ang product,0,0,0,0,The review expresses thanks and states the product is okay.,,,
219,electric nkalagay pero pinadala battery so far gumagana naman ewan kon magtagal,1,0,0,0,"The review mentions that an electric item was ordered but a battery-powered one was sent, and it's currently working, but unsure of its durability.",,,
220,may natapon ng onti sa packaging and also sobrang tapang pala pero ok since nagustuhan ni mama yung amoy hahahah,1,1,0,0,"The review notes some spillage in the packaging, strong scent but acceptable because the recipient liked the scent.",,,
221,maliit ang size nia nag add n ako ng 1size sumakto lang sa anak ko walang allowance dapat pala 2sizes ang add up di xa gaya nung inexpect ng anak ko na walang buto sa ilalim gaya ng nabili ni hubby sa iba sana d agad masira,1,0,0,0,"The review notes the small size, suggesting adding two sizes up, and notes a difference from what was expected, hoping it doesn't break easily.",,,
222,same quality sila ng price nya no offense pero d po sya effective yun lng,1,0,1,0,"The review suggests the quality matches the price, stating it's not effective.",,,
223,blue order ko pero black dumating okay naman ang quality,1,1,0,0,The review notes the wrong color was received but the quality is okay.,,,
224,ok for the price tama size mabilis dineliver mas mataas lang sya sa pic pero goods na din cute naman,1,1,1,0,"The review notes it's okay for the price, correct size, fast delivery, mentions it's taller than in the picture, and finds it cute.",,,
225,manipis kaya tama lang sa price nya tagal lang ng delivery pero okay naman lahat second order ko na to salamat seller at kay kuya rider,1,1,1,0,"The review notes it's thin, which is acceptable for the price, delivery was slow but everything is okay, and thanks the seller and rider.",,,
226,i tried it on and may amoy ng cloud and may amoy na nasusunog na hindi ko maintindihan anyways the delivery time is a bit long like last last week ko ata nabili and ngayon lang dumating,1,1,0,0,"The review mentions trying it on, notes a cloud scent and a burning smell that they don't understand, and the delivery time was a bit long.",,,
227,good video and photos are not related okay naman kaso namamatay siya bigla i think pag sobrang nakadikit sa tenga dahil sobrang sensitive yun earbuds tumatagal sa akin ng 2 hours below but still depends kung gaano kalakas yun volume and distance sa device,1,0,0,0,"The review notes the video and photos are unrelated, it's okay but dies suddenly, possibly due to sensitivity when too close to the ear, and the battery lasts around 2 hours depending on volume and distance.",,,
228,maliit di kasya sa baby ko same size sa isa kong nabili na shoes pero malaki size niya,1,0,0,0,"The review notes it's small and doesn't fit their baby, even though it's the same size as other shoes they bought.",,,
229,maganda naman pero yung quality feeling ko mabilis tong masisira pero all in okii pa din naman siguro di lang nameet expectation ko and di din ako fan ng mga seemless bra,1,0,0,0,"The review notes it's nice but the quality seems likely to break quickly, didn't meet their expectations, and they are not a fan of seamless bras.",,,
230,wrong size i order medium size large ang binigay,0,1,0,0,"The review states the wrong size was received, ordering a medium but receiving a large.",,,
231,i thought it was flexible ang pangit pa ng button,1,0,0,0,The review thought it was flexible but notes the button is ugly.,,,
232,looks cheap and low qual ang pangit super low quality madali mayupi bakal manipis yung mismong ginamit sa umbrella parang see through na hnd double layer unlike sa mga uv umbrella di pa natahi mga ibang bakal tinahi ko pa need pa adjust pag ibubukas pangit po low quality not,1,0,0,0,"The review says it looks cheap and low quality, easily dents, thin material, not double-layered like UV umbrellas, some metal is not sewn, and it needs adjustment when opening, stating it's poor quality.",,,
233,kulang yung items na dumating sakin but so far maganda yung products,1,1,0,0,The review states items were missing but the products are nice.,,,
234,wrong color set received whats the use of having choices kung di nyo din naman susundin sana sinabi nyo nalang na ramdom colors i ordered for set of blue shades at ung pinadala nyo ang oapangit ng kulay  iba din ang telasooo disappointed,1,1,0,0,"The review received the wrong color set, criticizing the point of having choices if they are not followed, mentioning they ordered blue shades, the colors received were ugly, and the fabric was different, expressing disappointment.",,,
235,good okay na sana pero ayos yang delivery driver ah 215 lang ung bill ko pero 250 kinaltas sa 500,0,0,0,1,"The review notes the delivery driver is good, but an incorrect amount was deducted from their money.",,,
236,mukang okay naman hindi kupa nattry kase hindi pa naman ako rumarampa,0,0,0,0,The review suggests it looks okay but hasn't tried it yet.,,,
237,good okay sakin ung onesie  bonnet at yung bunner kaso ung mga socks malalaki masyado para sa newborn sayang naman di pa maggmit ng baby ko,1,0,0,0,"The review notes the onesie, bonnet, and bunner are good, but the socks are too large for a newborn, which is a waste.",,,
238,ok naman sya kaso puro mouse pads nakuha ko kahit nung unang bili ko tpos nakabukas na pag dating sakin then duplicate pa yung isa,1,1,0,0,"The review states it's okay but they received only mouse pads even in their first purchase, and it was already opened upon arrival, with one duplicate.",,,
239,nakuwa kuna yung product kaso nga lang walang spatula at mabilis matangal yung tint nya hindi sya long lasting im so very disappointed,1,0,0,0,"The review notes they received the product but it's missing a spatula and the tint comes off quickly, not long-lasting, expressing disappointment.",,,
240,sakto lng para sa price,0,0,1,0,The review states it's just right for the price.,,,
241,tama ung kulay pro sa size mali dineliver size 36 order ku dumating size 39 kaya bnigay ku nalng sa kapatid ku di nmn kasya sakin order nalng ulit akotapos sira pa,1,1,0,0,"The review states the color is correct but the size delivered was wrong, so they gave it to their sibling, and it was also damaged.",,,
242,blackred ok naman yung shoes sakto lang sa price nya hindi kana luge maganda at comfortable sa paa,1,0,1,0,"The review notes the shoes are okay, worth the price, nice and comfortable.",,,
243,poor quality hindi gumagana yong mic ng earphone hys need panaman to sa online class anw expectation vs reality hahahahahahahahahahaahahahah,1,0,0,0,"The review notes poor quality because the earphone's mic doesn't work, needed for online class.",,,
244,thank you shopee and sellepati kay kuya rider na lagi nag deliver saminunang beses ko nag order sa shop nato ok po siya na register ko unli 30 days siyaorder ako ulit pag malapit na ma expiregodbless,0,0,0,1,"The review expresses thanks to Shopee, the seller, and the rider who always delivers, noting it's their first order and it registered for unlimited 30 days.",,,
245,ok lang naman but yung quality niya iba sya sa picture conpare sa personal akala ko kasi watery ung ba may pagka ganon pero ok lang din naman to kaya na thank you po seller,1,0,0,0,"The review states it's okay, but the quality is different from the picture, not as watery as expected, but still acceptable.",,,
246,not good may mga products naman na affordable pero maayos naman po also it takes a week bago ma deliverjt,0,1,1,0,"The review states it's not good, but some products are affordable and fine, delivery takes a week.",,,
247,manipis overall ok mejo manipis lang pag nakaupo kita pa din sagging belly,1,0,0,0,"The review notes it's thin, and it's still noticeable even when sitting, showing a sagging belly.",,,
248,ok ang item kya lng black at dark blue order ko pro parehong black ang dumating nadismaya tuloy ako at ang mr ko n magsusuot,0,1,0,0,"The review states the item is okay, but they ordered black and dark blue, and both came in black, causing disappointment.",,,
249,okay naman siya kaso ngalang ang alam ko sa sarli ko mas mabilis siya mag charge pero hindu pala okay siya pero mabagal mag charge for me at hindi rin siya nag fit ng sakto medyo naka balas yunh cord na sinaksak sa adoptor niya,1,0,0,0,"The review states it's okay, but it charges slower than expected and doesn't fit perfectly, with the cord slightly bulging when plugged into the adapter.",,,
250,ok sana mga items but mali mali ung nabigay sakin my checklist pa nman sila 1st time ko mag bigay ng 3 stars but sorry so disappointed haay,0,1,0,0,"The review says the items would have been okay, but they received the wrong ones, with a checklist available, expressing disappointment.",,,
251,di sya gaya ng dati n malamig s bibig at di din sya long lasting di din sya nakaka tanngal ng dry lips,1,0,0,0,"The review notes it's not as cooling and not long-lasting, and it doesn't remove dry lips.",,,
252,maganda naman quality kaso yung white may amoy amoy ihi ng catrat need hugasan,1,0,0,0,"The review notes the quality is nice, but the white one smells like cat urine and needs to be washed.",,,
253,great its working and great sound also but i dont like the touch pad nasa mismong hawakan and minsan natatamaan sya ng tenga ko kaya minsan kusa syang nag ooff  kala ko lowbat na pero di naman pala,1,0,0,0,"The review states it's working great with great sound, but they don't like the touch pad because it's on the handle and sometimes gets touched by their ear, causing it to turn off accidentally.",,,
254,fast delivery complete ang parts so madali siyang naassemble nalukot lang yung boxes used sa packaging another concern is hindi siya ganoon kaliwanag this means na mababa lang yung watts ng light i was expecting na it will rlly light up my room since ring light nga but sakto lang,1,1,0,0,"The review notes fast delivery and complete parts making it easy to assemble, but the boxes used for packaging were crumpled, and the light isn't as bright as expected.",,,
255,as usual not recommended sa mga sensitive ang ilong nakakasakit sa ulo tallaga nabudol lng ako dahil sa reviews hahaha anyways fast delivery naman si seller,0,1,0,0,"The review states it's not recommended for people with sensitive noses, causes headaches, but notes fast delivery by the seller.",,,
256,cute ang ganda thank you po seller kaso yung sim card hindi gumagana,1,0,0,0,"The review expresses it's cute and nice, thanking the seller, but the SIM card doesn't work.",,,
257,got it yupi ang box pero ok naman ung mismong unit the problem is hindi maintindihan kasi chinese character lahat even ung buttons and remote na try agad namin sya sa room parang walang effect paano ba makabili ng extra filter nito,1,0,0,0,"The review states the box was dented but the unit is okay, but it's hard to understand because everything is in Chinese, and it doesn't seem to have any effect, asking how to buy an extra filter.",,,
258,yung universal earphones manipis siya at yung mic ng earphones is not working,1,0,0,0,"The review states the universal earphones are thin, and the mic is not working.",,,
259,im so disappointed mascara ba talaga to,1,0,0,0,"The review expresses disappointment, questioning if it's really mascara.",,,
260,i used one of them tapos na bacon na agad yung gilid after one wash  see 3rd photo,1,0,0,0,The review notes that one of them got damaged quickly after one wash.,,,
261,sakto lang for its price,0,0,1,0,The review states it's just right for its price.,,,
262,fast low battery maganda kaso lang madaling malobat,1,1,0,0,"The review notes fast charging, low battery, and is nice but runs out of battery quickly.",,,
263,ok lng for its price na dis appoint ako sa squarepants kc dmn chinicheck ng maayos bago e ship yong dulo ng pants dpa ayos yong tabas nyakaloka,1,1,1,0,"The review states it's okay for its price, but they were disappointed with the square pants because they weren't checked properly before shipping, and the hem wasn't cut properly.",,,
264,not bad for its price pwede na pang bahay ma feel mo lang talaga na sobrang lambot at hindi pwedeng pang harabas,1,0,1,0,"The review notes it's not bad for its price, good for indoor use only, feeling very soft, and not suitable for rough use.",,,
265,order received super ganda sa personal fits me well thank you so much seller and to the shoppee rider keep safe and god bless us all,1,0,0,0,"The review states the order was received and is super nice in person, fits well, thanking the seller and rider.",,,
266,thank you kaya lang sira po yung stand eh hindi ko po maitaas kasi loose po yung screw niya kaya ginawan ko nalang ng paraan,1,0,0,0,"The review expresses thanks, but the stand is broken because the screw is loose.",,,
267,kulang ng 1 ang item number 2 spinnerq 9 lang dumating dapat 10,0,1,0,0,The review states one item is missing.,,,
268,okay naman pero di siya necessity you can use ruler or any straight objects para gamitin sya di ko type pagkakabalot ni seller kasi pag bukas ng jrs ganyan na agad buti nalang walang any dents or what,1,0,0,0,"The review states it's okay, but not a necessity, and doesn't like the packaging by the seller because it was already like that when opening JRS but luckily there were no dents.",,,
269,complete orders nmn kya lng nd nsunod un orders gstoq sna refund or return peru hinayaan q nalang kc nga abala dn haysss sna nextym mgupdate cla qng wla un order pra mpalitan kaloka dna ulit oorder sa shop na to nakakainis dq pa type un pinalit nla sa,0,1,0,0,"The review notes complete orders, but they didn't follow the orders, wanted a refund or return but didn't bother, hoping they update if an order is not available, and not liking the replacement sent.",,,
270,akala ko medyo malaki siya pero nung nilagyan ko ng water konti lang ang nailalagay im so disappointed huhuhu but yung tumbler maganda naman siyaaa,1,0,0,0,"The review thought it would be bigger, but it only holds a little water, expressing disappointment, but the tumbler is nice.",,,
271,received today it took me too long to received because of holidays i expected that it has some damage with it  pero hindi naman pla ok cya lalo ung pgkakawrap tlgang secure kasi wlang box ang inorder ko ei d ko lang matry pang itapat sa araw ngyon,0,1,0,0,"The review notes it took too long to receive due to the holidays but expected damage didn't occur, the wrapping was really secure, and they can't try it in the sun yet.",,,
272,ang bilis dumating maganda yung texture nya sticky nmn sya ang problema lng ay manipis sya kaya madaling syang masira o makita yung marka kapag nayupi o natupi  naka ilang ulit din ako yung last pic yung itsura pala ng dinikitan ko,1,1,0,0,"The review notes it arrived quickly, the texture is nice and sticky, but it's thin and easily damaged or marked when crumpled.",,,
273,separated pack pero may leak yung wipes kasi basa nung tinanggal ko ang balot as you can see marumi yung packaging paki check naman yung storage nyo for hygienic purposes,1,1,0,0,"The review states the wipes had a leak because it was wet when they removed the packaging, the packaging was dirty, and asks them to check their storage for hygienic purposes.",,,
274,mahina wala pang bubble wrap kaya durog durog ung box hindi ko tuloy alam kung okay pa ba tong item kasi mahina siya kahit naka full power na,1,1,0,0,"The review states it's weak, there was no bubble wrap so the box was crushed, and they don't know if the item is still okay since it's weak even at full power.",,,
275,2nd tym around na omorder na aq ganda kcsakto lang sa price,1,0,1,0,"The review notes it's their second time ordering, it's nice, and just right for the price.",,,
276,fake pala akala ko orig samsung bilia malowbat khit di ginagamit hindi naabot ng isang araw tapos di malabo din ung mic pag sa call di ka maiintindihan ng kausap mo,1,0,0,0,"The review notes it's fake, runs out of battery quickly even when not in use, and the mic is not clear during calls.",,,
277,just fine sakto sa price ang product do not expect super high quality for the price,1,0,1,0,"The review states it's just fine and worth the price, not expecting super high quality.",,,
278,malutong ung plastic just tried it today then nabasag kaagad dhil din cguro sa low price din,1,0,1,0,"The review states the plastic is brittle, it broke immediately, probably due to the low price.",,,
279,maganda matagal naman ang battery lagi kong ginagamit for outdoor act,1,0,0,0,"The review notes it's nice and the battery lasts long, used regularly for outdoor activities.",,,
280,akala ko ba 10meter yong wallpaper na to bakit 7meter lang parang nakakadismaya lang kasi yong nasukat mo na kung ilan kailan mopaano na yan kulang na to at saka masyadong manipis yong wallpaper na to,1,0,0,0,"The review expected 10 meters of wallpaper, but it was only 7 meters, stating it's too thin.",,,
281,super tagal ng order ko sept4 ko inorder pero sept14 kuna nareceived which is sana na before sept 11 o exactly 11 natanggap kona si rider talaga very irresponsible sa serbisyo niya,0,1,0,1,The review notes the order took too long to arrive and the rider was very irresponsible.,,,
282,kinda good po pero amoy plastic takot akong gumamit,1,0,0,0,"The review states it's kinda good, but it smells like plastic, and they are afraid to use it.",,,
283,maganda siya di hassle gamitin kaso ang ineexpect ko magtatagal siya ng ilang oras gaya nung nasa description niya pero di man lang nagtatagal ng kahit isang oras 3 hours pagcharge pero mabilis malowbat,1,0,0,0,"The review notes it's nice and not a hassle to use, but it doesn't last for hours as described, with 3 hours of charging but a quick battery drain.",,,
284,ok ok naman mali lang un isang color sana man lang nag message c sellwr if hindi available,0,1,0,0,"The review states it's okay, but the wrong color was sent, hoping the seller would have messaged if it was unavailable.",,,
285,ok naman itong isa kong inorder 39 size ko 40 41 inorder ko saktong sakto lang sakin,1,0,0,0,"The review states the other item they ordered is okay, size 39 but they ordered 40-41 and it fits perfectly.",,,
286,bakit ganun nag iba yungs scent lagi ako na order ung same scent ever pero yun an deliver today iba tlga,1,0,0,0,"The review questions why the scent is different, always ordering the same scent but the one delivered today is different.",,,
287,sira nman un pinadla niong ilaw ayaw gumana ng power supply sayang ang binayad k jn,1,0,0,0,"The review states the light they sent is broken, the power supply doesn't work, wasting their money.",,,
288,very cute i received the item wala nga lang box diretso lang sa shopee pouch gumagana naman yung left and right earphones hindi ko lang alam f nag charge ba o hindi kasi hindi umiilaw yung lalagyan sana hindi sira to,1,0,0,0,"The review says it's very cute, they received the item without a box, the earphones work, but they don't know if it charges because the case doesn't light up, hoping it's not broken.",,,
289,nakadalawang bili na ako sa pabango na to pangalawa ngayon yung unang bili ko nagustuhan ko yung amoy hindi gaanong matapang at sobrang bango pero itong pangalawang bili ko tatlo na nga binili parang iba yung amoy at amoy matapang pa paki ayos naman po seller di consistent yung nauna,1,0,0,0,"The review notes they bought this perfume twice, liked the scent the first time as it wasn't too strong and smelled great, but this second time it seems to smell different and stronger, asking the seller to fix the inconsistency.",,,
290,ok yung isa mlakas kaso itong blue para dati ng binuksan kc daming gasgas tapos mahina pa yung hangin nya huhu madali dn malowbatt,1,0,0,0,"The review states one is strong, but the blue one seems to have been opened before with many scratches, weak air, and runs out of battery quickly.",,,
291,nong april 3 ko sya inorder for 60 pesos and maganda talaga ang design kung magandang quality nga lang talaga ang hanap nyo dont expect it from 60pesos nevertheless magaan at maganda sa hindi malapad ang paa kaya kung malalapad ang paa nyo mag 1 kayo sa size yun lang,1,0,1,0,"The review ordered it on April 3rd for 60 pesos, the design is nice, but don't expect good quality for 60 pesos, it's lightweight and nice for narrow feet, so size up if you have wide feet.",,,
292,no indicator para malaman kung tapos na sya sa pag charge kulang ang hangin ng puti sa bandang huling mga linya walang hangin ang pink ay ok buo ang hangin,1,0,0,0,"The review states there's no indicator to know when it's done charging, the white one has weak air flow in the last lines, but the pink one is okay with full air flow.",,,
293,feb 11 order and feb 12 agad dumating kaso sabet lang lahat sa sizes sobrang kalungkot as in yung apat na order ko maliit lahat sakto sa cup lahat inorder ko kaso sa body size di kasya bawi nalang next time btw thankyouuu nalang din,0,1,0,0,"The review states the order arrived quickly on Feb 12 after ordering on Feb 11, but all sizes were wrong, all four orders were small, fitting the cup but not the body size.",,,
294,i clearly chat the seller na sana sa maayos n box ilagay dahil panregalo sana ng anak ko sa classmate nya and the seller agree nman i dont know kung dahil sa delivery nayupi yung box pero naka bubble wrap nman pero yupi pa din as for the quality ok,1,1,0,1,"The review clearly messaged the seller to put it in a good box because it was a gift for their child's classmate and the seller agreed. The box was dented possibly due to delivery, though it was bubble-wrapped, but the quality is ok.",,,
295,di masyado nababanat must order plus 2 size pra mgfit ng maayos,1,0,0,0,"The review states it doesn't stretch much, must order plus 2 sizes to fit well.",,,
296,packaging is good no clear instructions about charging red lang sya almost more than 3 hours hopefully will last 3 stars lang muna,1,0,0,0,"The review notes the packaging is good, but there are no clear charging instructions and it's just red for almost more than 3 hours, hoping it will last.",,,
297,okay sulit na rin sya for the price medyo matunog lang tas parang ang hirap ilakad minsan wag nalang mag expect masyado,1,0,1,0,"The review states it's okay and worth the price, but it's a bit noisy and hard to walk in sometimes, not expecting too much.",,,
298,cute at mukha siyang headphone,1,0,0,0,The review states it's cute and looks like a headphone.,,,
299,it looks good maganda naman pero hindi pantay nakua ko naman yung gusto ko na kukay,1,0,0,0,"The review states it looks good and is nice, but it's not even, but they got the color they wanted.",,,
300,order is black received is red anyare seller naubusan ba anyways type ng mama ko yung tela so bbigay ko nlng sknya pls paki double check nmn item nio,1,1,0,0,"The review ordered black but received red, asking what happened, the seller ran out, their mom likes the fabric, so they will give it to her, asking them to double-check their items.",,,
301,well at least maayos kausap si seller and na refund naman,0,0,0,1,Seller responsive.,,,
302,ang nipis niya kaya pala mura may square pants na talaga ako manipis din yun pero okay lang pag sinuot di kita yung loob pero ito medyo see through siya kaya pala mura pwede na for its price,1,0,1,0,Product is thin and cheap.,,,
303,tama nmn kso d nsunod request ko slamat nlng maganda rin ung slippers sakto lang size nia,1,0,0,0,Product is beautiful.,,,
304,unsatisfied hindi accurate yung size na inorder ko sa nakalagay sa chart at hindi din okay pagkakadikit,1,0,0,0,Size incorrect, not accurately sized.,,
305,parang malambot sya tapos sobrang gaan duda ako kng copy class a or pwd paghinalaan na imitation compare sa original na naabibili s mga samsung stores,1,0,0,0,Product not looking like a real one.,,,
306,ang order brow ang dumating nosetrip lang dalawa ano ba yan,0,1,0,0,wrong order delivered.,,,
307,maliit yung isa yung putitas my stain pasadyang inilalim pa pra d agad makitaok nmn sya kaso lng isinama prin ang my mantsa,1,0,0,0,Product defective, stain.,,
308,got the parcel manipis lng pala siya pero ok lng salamat sa seller at rider na kilala na kami pag mag delivery na siya di na niya kelngan pag tanong tanong pa,1,0,0,0,Product is thin.,,,
309,poor when it comes sa call sound ok call lng medyo diko bet,1,0,0,0,Product not performing well.,,,
310,810 okay naman siya kaso lang mukhang madaling masira yung quality niya mga mumshiiie pero good for small bags naman ang size niya ayun lang thank youuu may yellow umbrella na ko poging oppa nalang na makakatuluyan ang kulang charot kakakdrama ko to hahahahhaa,1,0,0,0,Product likely to break.,,,
311,super ganda po nya salamat din po don sa nag delivery thankyou po,1,1,0,0,Good item and delivery.,,,
312,good 2nd order ko kaso iba ung pinadala nila hnd kagaya ng una medyo makapal sya ngayon kaso nag hihimomol hnd sya kasing ganda nung una kong binili pero salamat pa din sakto pa din ang dating nya at mabait si kuyang rider,1,1,0,0,product is not as good as the first one.,,,
313,ok ok naman sya working fine sa hangin at speed ang problem lang ambilis ma empty batt about 1 hr 30mins wala na stop na mski low speed lang mabili ang charger mga 1 stop na blinking light pero mabilis parin ma discharge at isa pa ung wire na charger,1,0,0,0,product battery bad.,,,
314,i was surprised ksi movable pala sya and ang lakas ng tunog nya pag nagagalaw ito,1,0,0,0,Noise with product.,,,
315,low quality received the item completely and in good condition packaging is good transaction is smooth delivery is good madaling masira ayos na para sa presyo,1,1,0,1,Customer says good delivery but low quality for product.,,,
316,ang luwag haha ang laki pala niya parang kasya pa isang tao di ko sure if ganun talag style pero maganda namab quality un lang medyo super luwag,1,0,0,0,Size is too big.,,,
317,bought this for my car sana kaso meant pala sya sa flat surface kung pang bed and kutson sa room pwede sya kaso di sya super pang all around dahil nga sa shape nya but all in all its a good buy naman,1,0,0,0,Product not used as expected.,,,
318,okay naman yung item kaya lang nadisappoint ako kay seller kac di sya nagrerespond sa message ko regarding sa issue ng item yung right side kac ng fan is di nagana and nagmessage ako kay seller regarding that pero no response the seller only send the automatic reply repeatedly,1,0,0,1,Seller no respond.,,,
319,super tagal walang update tapos biglang ipapadala kakaloka na double tuloy order kinancel ko na pero di nacancel kaloka ok naman yung items kahit papano kakaloka lang yung seller,0,1,0,1,Late updates from seller.,,,
320,maganda yung items hindi kolang na picturan okay lang para sa price nya thank you seller,1,0,1,0,Product beautiful and good price.,,,
321,bakit ganun walang kasama spatula tapos mali pa yun color na pinadeliver sana nxt time pag out stock yun order ko po wag ng deliver kung wala tnx,0,1,0,0,Wrong item delivered.,,,
322,hindi nagrply ung shop tinatanong q ilang oras ang charging nitong neckfan at bkit every 5 min nag off kaagad xa kailangan i open ulit,1,0,0,1,Seller not replying to question.,,,
323,ok haysswala syang kasama na sticker di gaya ng nsa discription nya buti isa lng bnlidpat ng send ng pics seller bgo i ship,1,0,0,1,Missing item.,,,
324,black and white po yung inorder ko pero white and gray yung dumating,0,1,0,0,Wrong color delivered.,,,
325,najuha ko na po completo naman kaso lang hindi nasunod ang mga size na inorder ko nakakawalang gana naman,1,0,0,0,Incorrect size of item.,,,
326,di naman three fold,1,0,0,0,item doesn't match description,,,
327,wrong size po binigay nio hindi nmn po 2liters yan sana cnbi mo na wala 1100ml lng yan haist refund ko po sna ung iba di nmn yn ang price nyan ehok sana kaso ung sukat dmi sinunod,1,0,1,0,Product wrong size.,,,
328,maganda po ang sandals kaso lang may parang tunog kung ilakad mo parang yung may tubig na tunog sayang 2nd order ko na ito yung una hindi naman ganito,1,0,0,0,Noise of the product when using.,,,
329,kailangan ko pa bawasan pra mag fit s may burnerang sikip masyado ng pagsusuksukan,1,0,0,0,Product too tight and need to adjust.,,,
330,third time order actually im on a break my co workmates received my parcel so i didnt even see it ill just edit here soon video and photos not relatedsorry for it but this shop for me is legit since i order here three time na,0,0,0,0,No issues.,,,
331,the quality is just enough for the price hindi nga lang naka package man lang yung items sa loob yung mismong plastic na ng jt ang package nya walang tag yung underwears so pano ko malaman kung bago nga anyway im quite satisfied lang,1,0,1,0,Quality of product is good and right price,,,
332,mahirap makatanggal ng hair masyadong mahina yung action need mo talagang idiin and at the same time maging patient since matagal ngang makatangggal,1,0,0,0,Too hard to do, product does not do well.,,
333,product came in good condition hindi siya masyado nakakakuha ng dumi much better to go on heavy duty vacuum  ayus lang sa mga buhok,1,0,0,0,Vacuum not suctioning well.,,,
334,okay naman sya hindi ko pa natingnan yung baby mosquito net,0,0,0,0,No issues,,,
