Review #,Review,product,delivery,price,service,,,,,
225,so disappointed ayaw gumana ng control nya,1,0,0,0,product defective,,,,
226,di sya fast charger  so far di sya heavy duty kasi nga mumurahin lang,1,0,1,0,product not fast charging and cheap,,,,
227,okay namn po yung pag receive ko maganda yung cover so im so exited to try it days palang po nandyan na but im so disappointed kase dipo gumagana yung remote niya i try to download a led bluetooth but its not work so useless lang po yung led kaya,1,1,0,0,good delivery but product defective,,,,
228,ganda sana ng items lalo na yung salamin na me ilaw kaso yung sports bra me punit at butas,1,0,0,0,product with defects,,,,
229,poor kung gusto niyo ng sakit ng ulo order kayo no sense of responsibility sent a message to inform them right after delivery that the item arrived damaged due to irresponsible packing and the nerve na mag offer ng 10pesos discount hit and miss tong store na to so go,0,1,0,1,irresponsible packing and poor customer service,,,,
230,watery liquid less 1 star kasi there was a slight leak less 1 point kasi hindi siya similar sa orig na cloud which you can see in the photo after initial spray may sweetness siya like original cloud pero after 30 seconds nagiging powdery siya while orig cloud is sweet,1,0,0,0,product has a leak and not the original cloud,,,,
231,210 hindi naman photochromic to actually may ganito na ako naiwan ko lang sa bahay yun isa legit na photochromic ito normal lang na eyeglass,1,0,0,0,product is not photochromic,,,,
232,kulang ng isang item at hindi nirefund ng seller kaya di nako uulit sainyo at kung my bibili man dito sana di matulad sa na experience ko ayaw nyo pa talaga mag refund kaya ok 2 stars para sa inyo,0,0,0,1,missing item and seller refused to refund,,,,
233,u gave me wrong item im disappointed,0,1,0,0,wrong item,,,,
234,so ayooooon nag try lang hahahhaha kala ko may pa ibang hanash waley ihhh pareparehas talaga ung item na nilalagay nila like dito ko sure sa dalawa kung alin ang sa mystery pounch at mystery box kasi samasama,1,0,0,0,same items inside mystery pouch and box,,,,
235,so disappointed kasi yung fan my dumi tapos ok pq nung una gumagana nung na lobat tapos chnarge q hindi na gumana gagamitin q pa sana sa f2f clases kasi mainit kaso wla na sira na sayang yung pera saka sinong bobo mag lalagay nang lalagyanan nang batery na wlng,1,0,1,0,product is dirty, defective and waste of money,,,
236,kulang kulang ang item ang kulang ko ay 2 panty then isang paper tape isa lang ang na receive ko tapos si seller di na nag re respond nag bayad namn ako ng tama pero grabe namn,0,0,0,1,incomplete item and unresponsive seller,,,,
237,okay n sana kso color white ang order koiba ang dumatingsna kung ano order un ang ipapadala nio slamat,0,1,0,0,wrong color of the item,,,,
238,grabe yung alcohol nia matapang narecieve q na cia kaso di q bet nabudol ata aqwalang amoy yung pabango parang alcohol lng,1,0,0,0,product smells like alcohol,,,,
239,ayaw po gumana ng sim 1  nabuksan ko po sya two bar lng ang charge nung chinarge ko po nag hang at bigla na namatay at ayaw na mag charge at d na bumukas  sayang nman khit d na irefund sna mapalitan,1,0,1,0,product sim not working defective and waste of money,,,,
240,i am expecting that i will got 2 set of different mystery parcel since i ordered 2 mystery parcel i quite disappointed its ok to have it 1 packaging but i received the same items,1,0,0,0,same item inside 2 mystery parcel,,,,
241,the worst product ive ever bought in shopee so far i highly regret buying this such a huge waste of my money i am very maticulous with the quality of the products i buy kahit na cheap yung price its super thin  the tube doesnt wrap around the body,1,0,1,0,bad quality of the product thin and waste of money,,,,
242,ganda po sana kaso magka iba size panu ko po to mgamit hahaha excited pa nmn ako haysssss nkamura mn nga ganito nmn nrcv ko hahaha,1,0,1,0,good quality product but different sizes and waste of money,,,,
243,not what i expected manipis may butas yung color pink na watermelon ang print i should have ordered to the previous shop na pinag orderan ko dati out of stock nga lang kaya dito ako napa order mas mura dun at maganda quality ng payong,1,0,1,0,product is thin with a hole and cheaper but bad quality,,,,
244,ano to black yung inorder ko black pero white yung dumating  nagbabasa po ba kayo kung anong kulay ng sapatos ang ioorder kung wala pong black ede sana minessage niyo ako na white nalang ang ipapadala umasa kase ako na black ang dadating,0,1,0,0,wrong color delivered,,,,
245,hndi siya na gana at sira ang pag ka diliver sakin at hnfi din siya na ilow sa pinaka pouds sayang lng pera,1,1,1,0,product is not working defective and waste of money,,,,
246,this is my 9th time purchasing sana nman po i check nyo ng maayos bago nyo i ship imbes na 30 days unli 30 gb po ang naiship ninyo ayaw pa mag response ni seller i refund nyo po ako,0,1,0,1,wrong item and seller unresponsive,,,,
247,nothing 2 days using this product sira agad ayaw umikot very disappointing dont buy this product nag clip fan nalang sana ako hayst,1,0,0,0,product is broken after 2 days,,,,
248,so far po ang ganda pero hindi po sya cotton pero okay nmn sya sulit yung 274 kaya thank you po,1,0,1,0,product is not cotton but worth the money,,,,
249,sira yung sa saksakan ng charger tas maling charger binjgay itlogg,1,0,0,0,charger defect and wrong charger,,,,
250,bilis malowbat tas sobrang tagal icharge hayss,1,0,0,0,fast to lose charge and slow to charge,,,,
251,good inorder ko black 2 liters tapos dumating blue  orange sayang naman mga lods buti nalang mura oorder nalang ako sa iba sa lolo ko nalang daw bayaran nalang daw nya ko,0,1,1,0,wrong color and quantity,but cheap,,,
252,never buy in this store  mali2 yung order ko tapos kulang pa  item is not good  very poor,0,1,0,0,wrong and incomplete item,,,,
253,i dont think na matibay tong umbrella kasi halos twice pa lang nagamit pero nagkabutas na too bad naorder received ko na so i dont recommend this item,1,0,0,0,product has a hole,,,,
254,antagal pong dumating halos 1 week koh sya hinintay 1st time koh dito at ayoko nang umulit don sa mga unang na orderan koh 2 na pinakamatagal as in fast shipping sya not recommended ang store sorry sana baguhin nyo toh,0,1,0,0,slow delivery,,,,
255,hindi naman po ako man loloko ano po makukiha ko sa panloloko maamsir pinagipunan po namin ang pera para sa pag bili tapos yan lang rejected na agad consinqman po kayo pwede po tayo mag communicate properly para ma resolve hindi yung rejected na agad hahay,0,0,0,1,product rejected and seller not communicating,,,,
256,wrong item dinelete ni seller yung unang feedback na wrong item ang pinadala 2nd order na mali pa rin pinadala this is not 2l obviously and not the motivational tumbler we ordered being said it doesnt serve its purpose na motivational buti na lang mura lang pero sayang pera pa,0,1,1,1,wrong item unresponsive and seller and a waste of money,,,,
257,but supper gusot hindi naka plasticnext time pls ayosin ninyoorder kasi yan,0,1,0,0,bad packaging,,,,
258,manipis sya at same2x lang yung mga designs nya yung logo lang yung iniba,1,0,0,0,product is thin,,,,
259,so bad isa pla to sa mga scamers 454 poh bnayaran koh 2 pcs poh order koh but 1pc lng nkuha koh dmi koh ng msg sa nyo never kau ng reply about sa complain koh,0,0,1,1,scammer,incomplete and no reply,,,
260,sira ung charger d gumaganapanu b e blik ung item,1,0,0,0,charger defect,,,,
261,ok nman ung item akala ko lang nung una wireless not bad sa 39 pesos,1,0,1,0,ok item for 39 pesos,,,,
262,kahit nagdagdag na ako sa original size maliit parin im so dissappoited,1,0,0,0,size issue,,,,
263,laspag na laspag di maayos yung stand durog na durog pa yung box stock pa ata to nung pinanganak si enrile e recommended kung gusto ng sakit sa ulo,1,1,0,0,bad product,,,,
264,napaka unresponsive ni seller then mali pa yung item na binigay,0,1,0,1,seller unresponsive and wrong item,,,,
265,iba yung pinadala skin versus sa inorder ko lalaki anak ko tpos pinadalahan ako ng pink 3 order ko 1 kng ang tinama syang pera,0,1,1,0,wrong item and waste of money,,,,
266,wag kayo bibili after 2 days nasira tapos ayaw palitan ng seller ung purifier kahit nag provide ako ng pic at video scam,1,0,0,1,scam,product broken and seller no action,,,
267,nakaka dissappoint kasi ibang iba ung kulay sa binili ko na bago here sa same number na binili ko noon,1,0,0,0,different color from previous buy,,,,
268,i order 3 pro 2 lng dumatingty nlng porket dko na video ng inopencharge to experience pro sna dobol check nyo rin parcel nyo send pics or video bago kayo mag ship,0,1,0,0,incomplete item,,,,
269,not working kaya walang lalabas na amoy unsatisfied customer here nasayang lang pera ko salamat na lang kay rider sa pagdeliver pero sa seller nevermind,1,0,1,0,product not working and waste of money,,,,
270,good tnx shoppee and seller for give me a good sakto sa aking anak ganda subrauulit ako mag order ulittnx,1,0,0,0,good product,,,,
271,yellow bee po yung order ko kse partner sna sa custome ng baby ko na bee kaso iba pinadala wala man lang pasabi na ppalitan hays,0,1,0,0,wrong item,,,,
272,parang bond paper sa nipis akala ko mahaba not true to size madali lang mabutas not satisfied at all,1,0,0,0,product is thin,short and easy to have hole,,,
273,parang gamit na at saka putol2x young sound sayang sana next time ayosin nyo naman,1,0,1,0,product is already used and wasted,,,,
274,ok naman yung black kaso yung white sira nung pag ka diliver saken,1,1,0,0,black is ok, but the white is broken,,,
275,good sana check dn muna maige ni seller un item tulad myan may stain na browm pareho pahaysssana makuha pa sa zonrox at kuskossayang,1,0,1,0,good but the item has stains and wasted,,,,
276,panget na seller kulang kulang ang item mali2 pa binibigay na item not trusted wag na kayo umoorder jan nakakadismaya,0,0,0,1,bad seller, wrong and incomplete item,,,
277,im so disappointed kasi i waited for a long time para sa products na to tapos hindi naman pala worth it i know na this is a dupe lang pero walang wala talaga parang alcohol lang at tubig i cant even smell the fragrance in it sayang lang 200 ko,1,0,1,0,bad product and wasted,,,,
278,quality is good sana nagtanong muna kayo kung ok ba na palitan ung color na inorder hindi yung paladesisyon kayo na basta nyo nalang ipapadala ung maling kulay,1,0,0,1,good quality but wrong item delivered,,,,
279,bad it doesnt work i was really sad nagipon ako para dto then sira ung dumating nung una gumana and natakot na ako na d gumana i chat the seller nung hindi na nga gumana 2 hours daw icharge pero alana nasayang 100 ko ilang minutes ko lng nagamit,1,0,1,0,the product is broke and a waste of money,,,,
280,the scent is nice but the product itself isnt may leakage sobra tapos unresponsive pa ng seller,1,0,0,1,nice scent but the product is leaking and unresponsive seller,,,,
281,kulang ang dumating na item isa lang ang dumating which is supposedly 2,0,0,0,0,incomplete item,,,,
282,810 grabe sa unang order okay pa though may parang naputol sa loob then after 2 days hindi na gunagana sayang pera,1,0,1,0,broken and wasted,,,,
283,dapat ang eh deliver yong nasa actual na nasa picture kaya nga binili eh kasi maganda sa picture tapos pagdating iba pati kulay iba beige ang order naging black ang dumating tapos oobligahin niyo customer niyo na ibalik item nagbayad naman ng tama tapos lolokohin niyo customer niyo,0,1,0,0,what u see what u get, wrong item,,,
284,kala ko same xa nung mga nkkta ko na ndi nag ffade very dissappointed,1,0,0,0,the actual thing is not the same of what he see,,,,
285,did not deliver the remote that comes with the unit coordinated several time s but ni action done so frustrating poor after sales service sa customer wala tiwala sa customer naghahanap pa ng video while opening,0,0,0,1,did not deliver the remote of the unit and poor after sales service,,,,
286,kulang ang item na ipinadala 3 umbrella ung order ko 2 lang yung nasa parcel tapos yung seller hirap e contact for refund di na nagrereply,0,0,0,1,less item and difficult to contact seller for refund,,,,
287,poor quality po cra na agad 1week plang saken not responsive ndn c seller sayang po ang pera,1,0,1,1,poor quality and waste of money and the seller not responsive,,,,
288,sira ung right side hnd sya nagchacharge bulok tagal pa dumating,1,1,0,0,the right side not charging and it takes too long to deliver,,,,
289,agad naman nadeliver kaya lang ibang kulay ang dineliver compare sa order ko hindi parepareho ang tela may makapal at may manipis nakaka dis appoint na mag order ulit pero pwede ng pagtyagaan,1,1,0,0,wrong color and not the same fabric,,,,
290,before kayo bumili nang product na ito mag isip nang mabuti sayang pera dito not assertive si seller,0,0,1,1,it is a waste of money, seller not assertive,,,
291,subrang disappointed ako kasi hindi tama yong dumating sakinhindi sya two colors wala rin salamin,0,1,0,0,the product is not correct, it has no colors and no mirror,,,
292,not aligned sa order ko i received wrong item,0,1,0,0,received wrong item,,,,
293,wrong item receive wag na kayong un order dito sayang pera nyo,0,1,1,0,wrong item and a waste of money,,,,
294,one star lang kase meron na akong scent ng cloud pero hindi siya kaamoy nung binigay nyo,1,0,0,0,not the same scent from the cloud that she had,,,,
295,iba ang quality ng actual product ibang iba sa photo,1,0,0,0,the quality of the product is different of what she seen in the photo,,,,
296,poor hindi naman ito yung inorder ko a terrible shop,0,1,0,0,this is not what she had ordered,,,,
297,very bad supplier hindi man lang siniparate yung wipes basang basa lahat ng iba kung inorder wag kau umorder dito hindi marunong mag pack not good very bad,0,1,0,0,very bad to pack the item,,,,
298,okay na sana for its price kaso why naman sira yung isang side hayyy magagamit pa naman kaso alam mong hindi mag tatagal,1,0,1,0,item is broken but okay for its price,,,,
299,510 ang tagal magreply ng seller i received the item week ago and i inquired kase black yung dumating but till now wala sila reply,0,1,0,1,the seller is not responsive,,,,
300,none mystery box tapos pareparehas lang ang laman lol wag kayong oorder sa shop na to tatlo pa inorder ko tapos ganito kaya nga mystery eh tapos ilalagay parepareho,1,0,0,0,there is the same item in the mystery box,,,,
301,not satisfied customer heremay mga sobrang rubber,1,0,0,0,Description:  The review mentions 'rubber' which is a material aspect. Tag: product.,,,,
302,sana give away nalng tong item nato also 1000 order ko kay seller,1,0,0,0,Description:  The review expresses dissatisfaction with the item. Tag: product.,,,,
303,sira ang pinadala not satisfiedsira ang isa na pinadalasana bago ipadala echeck muna kasi sayang lng ang pera na pinagbili,1,0,1,1,"Description:  The review mentions the item being 'broken' and 'not satisfied' which falls under product and service. It also states it was a waste of money, falling under 'price'. Tag: product, price, service.",,,,
304,may31 super ingay mas maingay at mas mabigat sa vacuum malakas ang suction pero may mga hairfall akong namimisspag matagal na gamit hindi na gumagana yung suction yung uv na lang ang functioning not sure if its by design sayang pera mas worth it ang vacuum,1,0,1,0,"Description:  The review discusses the 'noise', 'suction', and 'functioning' of the vacuum, pointing to 'product' features. Also mentioned wasting money. Tag: product, price.",,,,
305,4 ang inorder ko dalawang mystery pouch at dalawang mystery box iisang bag lg dumatung ang laman apat na mousepad wow ang saya ng mystery,1,1,0,0,"Description:  The review mentions receiving the wrong item suggesting product issues. It also states they received a single bag out of their total order. Tag: product, delivery.",,,,
306,im not sure if seller is color blind or what i ordered pink but i received orange excited pa naman ako mareceive yung item tapos ganto,0,1,0,1,"Description:  The review indicates the wrong color was received, pointing to delivery issues.  It also mentions disappointment due to the issue falling under the service aspect. Tag: delivery, service.",,,,
307,grabe nagexpect ako ng sobra pero my god pagbukas ko pa lang nung fan nagamoy siya then hindi na mapindot ayaw na mapatay huwag na kayong oorder dito scam so disappointed,1,0,0,1,"Description:  The review states that the item had a smell when they opened it and its not functioning which suggests a product issue. It also mentions not to order from the shop which is service related. Tag: product, service.",,,,
308,d long lasting ok naman fast delivery pero ung pabango tlga dko type pati maliit lng sya,1,1,0,0,"Description:  The review mentions the scent of the product, the fast delivery and it not being long lasting. Tag: product, delivery.",,,,
309,at first okay naman nung ginamit ko then na lowbatt then chinarge ko 2 to 3hrs then ginamit ko after 10 to 15mins ubos agad battery eh ang tagal naka charge,1,0,0,0,Description:  The review states that the battery dies quickly. Tag: product.,,,,
310,maliit ang size nila at npkatagal madeliver but anyways thank u pa rn,0,1,0,0,Description:  The review states the wrong sizing of the product as well as it taking a long time to arrive. Tag: delivery.,,,,
311,leaking po sya promise di n ako komontak s cs nila ksi hassle din mgreturn,1,0,0,1,"Description:  The review states that the item is leaking. It also mentions the customer not wanting to contact customer service as the whole process is a hassle. Tag: product, service.",,,,
312,mali ang sukat 40cm wide and 5m long only not the same as advertised nagamit ko na at super manipis lang madali masira ginamit ko kasi sayang naman ang pera na pinang order hindi pwede gamitin over something na araw araw pinapatungan ng mga gamit like kitchen counter table etc,1,0,1,0,"Description:  The review mentions the incorrect size, that the item is flimsy and easy to break. It also states it was a waste of money. Tag: product, price.",,,,
313,maling kulay pa rin yung dumating very disappointed nakakainis napaka walang pake niyo sa customer noh,0,1,0,1,"Description:  The review says that they received the wrong color and that the seller is very irresponsible. Tag: delivery, service.",,,,
314,size 42 siya pero mukhang size 38 sa bf ko siya actually but nagkasya sa mama ko jusko sayangggg lang pero okay lang ang cheap lang naman niya and nagamit naman kaya di na rin masama k kayo bahala kayo kung ilang size yung ipapatong niyo basta yurn lang photos,1,0,1,0,"Description:  The review mentions the size being incorrect and that it was not a waste as it was cheap. Tag: product, price.",,,,
315,hindi siya worth it 010 mahina yung left side tapos palaging nag didisconnect,1,0,1,0,"Description:  The review mentions the item not being worth the price. Tag: product, price.",,,,
316,naglalag pa sad life naglalag pa sad life super gaan parang hindi durable naglalag pa sad life naglalag pa sad life naglalag pa sad life super gaan parang hindi durable naglalag pa sad life naglalag pa sad life naglalag pa sad life super gaan parang hindi durable naglalag pa sad,1,0,0,0,Description:  The review mentions it lagging and not being durable. Tag: product.,,,,
317,ang linaw ng order may check pa kuno sa waybill walang sabi sabi ship out sila kahit mali ang kulay tas sasabihin return eh di hassle pa sa customer wag na kayo umorder dito lalo if may ibang choice sa kulay baka mali din ipadala nila sa inyo,0,1,0,1,"Description:  The review says that the order was clear but they received the wrong color. It also expresses that its hassle to return as well as saying not to order at all. Tag: delivery, service.",,,,
318,wala na man siyang free stick ano to kakamayin lang,1,0,0,0,Description:  The review talks about a missing item as it needs a stick. Tag: product.,,,,
319,disappointedang panget niyamay damage paparang isang suotan mo langsize 40 order ko pero lampas na lampas paa ko prang size 7 langwaste of money,1,0,1,0,"Description:  The review states that it had damage as well as wrong sizing. It also expressed wasting money. Tag: product, price.",,,,
320,hindi siya worth it ang baba ng quality ng products sumabog nung chinarge,1,0,1,0,"Description:  The review mentions it not being worth the price and bad quality as it exploded after charging. Tag: product, price.",,,,
321,hindi complete yung order they even message me to click the received para mabigyan ako voucher pero kahit naclick ko na theyre still giving me any refund or voucher they are aware of the two missing items i even sent them a video,0,0,0,1,"Description:  The review talks about an incomplete order, the customer clicking the received button yet not receiving the promised voucher. Tag: service.",,,,
322,not happy kaloka subrang liit ng items grabie naman expected q maganda ayyy ewan kaloka,1,0,0,0,Description:  The review mentions the item being too small and expressing a lack of satisfaction. Tag: product.,,,,
323,parang tubig lang sobrang nakakadismaya di pabango binigay nyo alcohol i dont expect a lot pero yung padalan nyo ako ng alcohol sobrang bad ratings kayo saken,1,0,0,1,"Description:  The review mentions receiving alcohol instead of perfume and expressing disappointment. Tag: product, service.",,,,
324,ibang item yung dumating sakin 2l pastel motivational water bottle yung order ko pero iba yung nareceive ko 1100 ml lang sya pati color iba dinmaganda naman sana pero mas gusto ko sana yung malaki,1,1,0,0,"Description:  The review mentions receiving a different item as well as an incorrect size. Tag: product, delivery.",,,,
325,maling item at kulang yung pinadala kids ang inorder ko pang adult ang dumating irerefund daw nila ng shop voucher pano kung di na ako umorder sa shop nila edi useless lang at may expiry pa ng 30days useless ang refund ayaw naman pumayag sa gcash or shopee coin ipasok,0,1,0,1,"Description:  The review states they received the wrong item as well as it being incomplete. It also mentions the customer wanting a refund. Tag: delivery, service.",,,,
326,yung pakaging di maganda hays yupi yung karton ng tripod ang ganda sa pic pero sa personal na hindi pero all in all oks naman kaya thank you padin kay seller edit ko lang jusko sira agad yung tripod hays seller wag naman ganyan nagbabayad ng maayos sainyo,1,1,0,1,"Description:  The review mentions bad packaging and that the tripod had damage.  Tag: product, delivery, service.",,,,
327,ok nakaka badtrip ibang iba yung dumating sakin  medium na boxer orderk ko xxl ang dumating black nq shirt or order ko red na one piece yung dumating nanakakainis talaga sayang lang pera sa shop na to,0,1,1,0,"Description:  The review states that a completely different item was sent. Tag: delivery, price.",,,,
328,ganyan na sya sa loob ng pouch saklap no working naman ung item magamit sana sa ng matiwasay napakaikli ng usb cord puro gasgas rin ung item at di ko tlga ineexpect na ganito lang ung item seriously wala naman sya sa listahan ng mystery list,1,0,0,0,Description:  The review says it was damaged within the pouch and that it was not working. Tag: product.,,,,
329,supposed to be april 15 po ang pag recieved ng item but dumating xa ng april 18puro delivery failed wala naman attempt na ideliver at wala dn natawag na rider na idedeliver na at knowing na iba ibang color amg order ko pero may 2 na magkaparehing kulay,0,1,0,0,"Description:  The review mentions the late delivery, the delivery failed and receiving two of the same color. Tag: delivery.",,,,
330,disapointed nakaka disappoint sobra pano ko to gagamitin seller hays,1,0,0,0,Description:  The review says that the customer is very disappointed and does not know how to use the item. Tag: product.,,,,
331,maganduh piro blue ang benegay seller anu i2 black ang inorder q hendi blue bkt blue ang benigay nio saken ginagagu nio customer nio,0,1,0,1,"Description:  The review states they received the wrong color and accuses the seller of playing with the customer. Tag: delivery, service.",,,,
332,2l tumbler yung inorder ko pero 1l yung pinadala ibang design pa sana hindi kayo nag aadvertise ng ibang products pag hindi yun yung binebenta nyo panloloko ito eh,1,1,0,0,"Description:  The review mentions receiving the wrong size and different design from what was advertised. Tag: product, delivery.",,,,
333,ok naman yung appearance ng product though ng eexpect ako na ng pwde sya bend or ipa ikot pero hindi pala i tried it na i charge siguro 5 mins lang ng stop na sya kasi nawala yung red na light pag chacharge mo so feeling ko full na sya,1,0,0,0,"Description:  The review is discussing the product appearance, features and charging capabilities. Tag: product.",,,,
334,ito inurder ko its black kaso init na init ako kasi walang pang pen if ganito ung quality d nalang sana aq nag order sayang lng sa pera pangit pa  kaya 1 star lang sa sunod tignan nyo mona ung parcel,1,0,1,0,"Description:  The review states they wished they didn't order it and that it was a waste of money because of its quality. Tag: product, price.",,,,
335,not good di ko na sinoli kasi sabi ng anak ko akin na lang pag laruan na lang niya sayang pera ko sa item na masmalakas pa buga ng hangin ng bibig ko maingay pa sabi less noise may video ako kaso more than 3second di ko na na send,1,0,1,0,"Description:  The review says it's not good and mentions it being a waste of money. Tag: product, price.",,,,
336,sayang pera sa adaptor sumabog yung adaptor ilang beses na akong bumibili sa shopee ng charger at gumagana lahat nang maayos kaya di na talaga ako nagvivid di nyo naman ako ininform na may lahi pala tong fireworks pinahamak nyo pa ako,1,0,1,0,"Description:  The review mentions that the adapter exploded and wasting money. Tag: product, price.",,,,
337,quality is not good im using it for 3 to 4 weeks already the amount of dust accumulated is minimal,1,0,0,0,Description:  The review talks about the quality being bad and the minimal amount of dust accumulated. Tag: product.,,,,
338,pink and green color ng order ko hindi white  blue basta may mapadala lang kayo,0,1,0,0,Description:  The review mentions they received the wrong color. Tag: delivery.,,,,
339,nauna kong inorder pero huli dumating mas nauna ang huling inorder ko kaya medyo na worried at ngkamali pa ako ang gi confirm ko itong huling dumating tsktsk pareho kc ang item ibat ibang supplier yaong isa kc buy 1 take 1 at least dumating na lahat ang inorder ko,0,1,0,0,Description:  The review mentions a late delivery. Tag: delivery.,,,,
340,pki blik ung pera ko kunin nyo tong items nyo bkit kulay itim ang dumating green order ko,0,1,1,0,"Description:  The review mentions receiving the wrong item and wanting a refund. Tag: delivery, price.",,,,
341,mahina ung sa audio at pag magsasalita ako sa ka call ko wala naririnig,1,0,0,0,Description:  The review mentions the poor audio quality. Tag: product.,,,,
342,i ordered black but i received color beige maganda naman yung product kaso black kasi talaga inorder ko,0,1,0,0,Description:  The review states that they received the wrong color. Tag: delivery.,,,,
343,item was good shipped immediately also but please double check the items your customer ordered you sa case ko missing ng 2 umbrellas hopefully narefund namn din right away sana next time mas macheck pa po ang item bago iship,0,1,0,1,"Description:  The review mentions good shipping time.  It also mentions missing items, requesting to double check before shipping next time. Tag: delivery, service.",,,,
344,000 sayang ang pera sayang pera ko di man nagamit umiilaw lang di bumubuga walang lumalabas ganun na lang for display,1,0,1,0,"Description:  The review states the item did not work and that it was a waste of money. Tag: product, price.",,,,
345,not satisfied ang reason bakit ako napabili kasi maraming hair lagi sa bed namin hindi sya nakakahigop ng buhok kelangan pa nang matagal na effort sayang pera,1,0,1,0,"Description:  The review mentions being not satisfied as it does not work and that it was a waste of money. Tag: product, price.",,,,
346,ibang item po yung binigay and i ask for refund but they only returned 30 pesos like wtf160 dapat yon grabe naman po nagbabayad naman ako ng tama,0,0,1,1,"Description:  The review mentions receiving a different item and getting the wrong refund amount. Tag: price, service.",,,,
347,ung cord ok kso ung adaptor not good sayang lng,1,0,1,0,"Description:  The review says that the adapter is not good and mentions it being a waste. Tag: product, price.",,,,
348,eto yung mystery box at mystery pouch nila 2 in 1 na hahaha babala wag bibili,1,0,0,0,Description:  The review says the mystery box and pouch are the same thing so its a warning not to buy. Tag: product.,,,,
349,wrong color ipinadala ni seller sakin pero yung crocs itself is okay naman goods na for its price seller sa susunod paki inform naman po kapag wala yung kulay na gusto naming mga customers thank you,1,1,1,1,"Description:  The review mentions receiving the wrong color but the item itself is okay and good for its price. It also states to inform the customer in the future. Tag: product, delivery, price, service.",,,,
350,walang kwinta ang liit ng size himdi manlang ng rereply yung seller,1,0,0,1,"Description:  The review states that the item size is small and that the seller is not responding. Tag: product, service.",,,,
351,tignan niyo ang pinadal nakalagay 14pcs at ang ganda ng mga clip pangregalo ko sana kaso yung pinadala bukod sa 7 pcs lang ang layo sa nakapost at benebenta i need refund nagbayad po ako ng sakto ibalik niyo yung pera ko pinaghihirapan namin yung pinangbibili namin maging maayos po,0,0,1,1,"Description:  The review mentions receiving only 7 pieces instead of 14pcs and needing a refund. Tag: price, service.",,,,
352,hindi ko nga knows mhie i did not receive this item pero sige inyo na yan hahaha gbu ily,0,1,0,0,Description:  The review mentions the customer not receiving the item. Tag: delivery.,,,,
353,well cheap price comes with a cheap quality you can really feel na ang cheap ng dating nya tho i love it kasi malambot sya sa paa problema lng ang inorder ko 3839 na size pero ang dumating png size 65 or ganto talaga size nya,1,0,1,0,"Description:  The review mentions cheap quality but states it being worth it due to it being cheap. It also mentions incorrect sizing. Tag: product, price.",,,,
354,after 4days sira agad haha,1,0,0,0,Description:  The review says that the item broke quickly. Tag: product.,,,,
355,i bought 2 of these mystery box but the seller sent same item same design and same color sana man lang sir iniba mo ung isa,1,0,0,0,Description:  The review states they received the same item and design even if the customer bought 2. Tag: product.,,,,
356,ok the seller is not responsive tbh the item is okay but i suggest na mag 1 size up kayo sa normal size niyo maliit ang sizing nila 39 lang ako pero 4041 ang kasya sakin,1,0,0,1,"Description:  The review mentions that the seller is not responsive and states that they should size up. Tag: product, service.",,,,
357,may damage pasmall size 3839 parang size 5 lng pokya order p ko isatry k 3940,1,0,0,0,Description:  The review mentions receiving a damaged item and it being small. Tag: product.,,,,
358,damage items kahit ang seller is not responsive kaka dismaya,1,0,0,1,"Description:  The review mentions receiving damage item and the seller not being responsive. Tag: product, service.",,,,
359,ang baho amoy payay na uod or something,1,0,0,0,Description:  The review describes that the item has a bad smell. Tag: product.,,,,
360,maliit po siya parang medium lang podi siya 3 xl o 4xl,1,0,0,0,Description:  The review states the item being small. Tag: product.,,,,
361,maganda naman wrong color lang  order ko blueorange dumating pinkblue ayaw tuloy gamitin ng kapatid kong lalaki at may color pink  next time wag na sana maulit di baleng matagalan basta tama ang idedeliver nyo wag nyo madaliin kung hnd naman tugma sa order tnx,0,1,0,0,Description:  The review says that the item itself is good but mentions they received the wrong color. Tag: delivery.,,,,
362,mali po ung product na binigay nyo wla po ako inorder na earphones ang i order a white brallete tas d pa nakalagay sa plastic ung mga bra literal na parang nilagay directly ung product sa plastic ng jnt then wla ng platic na isa pa na pag lalagyan nung,0,1,0,0,Description:  The review states that they received the wrong product. Tag: delivery.,,,,
363,may damage may damage na factory defect tapos ayaw palitan ng seller  di na nag derapino ng seller tapos nung nireport ko sa shopee kinacancel ni shopee yung rewlquest ko ng return at refund sana sa ibang seller na lang ako bumili sobrang nakakainis iting shop na ito,1,0,0,1,"Description:  The review mentions the item having damage and the seller not willing to replace it. Tag: product, service.",,,,
364,i ordered 2 of this and itong isa damaged bakit namn ship nyo ng may defect ung isa gumagana tong isa umiinit lang sana bago nyo ship check nyo muna mabuti ksi ung box nya ok hindi sa shipment ang problem,1,0,0,1,"Description:  The review says that they received a damaged item and one is functioning while the other is not. The customer wants them to check it before shipping in the future. Tag: product, service.",,,,
365,lagi ako bumibili sa mystery pouch nagpapromo si seller sinunod ko instructions purchased 5 mystery pouches at 58 pesos each pouch 5 din na magkakaparehas na item yung mahaba na mouse pad aanhin ko ang product na ito,1,0,0,0,"Description:  The review says that even buying 5 mystery pouches, they received 5 of the same product. Tag: product.",,,,
366,hmp napaka tigas ng pindutan ng green umbrella need pa ipush bago mabuksan which is hassle all goods naman yung black pero panget ng green,1,0,0,0,Description:  The review talks about the green umbrella being hard to open and the black umbrella being good. Tag: product.,,,,
